1943,762,805,
792,170,1229,
2130,808,887,
689,908,1656,
781,2023,960,
247,2261,422,
2313,2399,2693,
2479,2425,1884,
2275,2129,1943,
531,599,462,
683,983,903,
2577,870,2359,
1034,904,647,
647,2237,2070,
2421,2316,2367,
785,740,553,
553,615,56,
1182,296,553,
1182,296,170,
357,553,615,
357,553,615,
1182,296,553,
1182,296,615,
170,479,230,
1182,296,615,
170,413,412,
170,350,272,
272,522,217,
272,522,217,
149,396,458,
14,512,591,
1990,799,844,
844,665,1014,
1877,1995,803,
899,808,635,
940,1024,852,
689,732,948,
2150,1968,1004,
915,1676,952,
2107,1676,2108,
