1943,762,805,2014,2234,
792,170,1229,42,1538,
2130,808,887,633,761,
689,908,1656,1033,734,
781,2023,960,738,651,
247,2261,422,2013,1007,
2313,2399,2693,2237,2564,
2479,2425,1884,1767,1882,
2275,2129,1943,1887,2073,
531,599,462,26,85,
683,983,903,2639,943,
2577,870,2359,2252,686,
1034,904,647,779,991,
647,2237,2070,693,1594,
2421,2316,2367,2485,2182,
785,740,553,615,56,
553,615,56,357,183,
1182,296,553,615,357,
1182,296,170,553,615,
357,553,615,56,492,
357,553,615,56,547,
1182,296,553,615,357,
1182,296,615,553,56,
170,479,230,480,413,
1182,296,615,553,56,
170,413,412,350,272,
170,350,272,413,107,
272,522,217,149,88,
272,522,217,149,88,
149,396,458,384,456,
14,512,591,456,276,
1990,799,844,970,2000,
844,665,1014,1011,969,
1877,1995,803,627,1999,
899,808,635,724,1023,
940,1024,852,1637,2071,
689,732,948,992,822,
2150,1968,1004,700,2023,
915,1676,952,736,1923,
2107,1676,2108,1861,2105,
